Boxes,Texts,Probabilities
"[[515.0, 372.0], [543.0, 375.0], [541.0, 390.0], [513.0, 387.0]]","65,91",0.9993106126785278
"[[84.0, 384.0], [213.0, 385.0], [213.0, 398.0], [84.0, 397.0]]",Banana Area Rugs Living Room,0.9857481122016907
"[[84.0, 395.0], [167.0, 397.0], [166.0, 408.0], [84.0, 406.0]]","Carpet, Christmas...",0.9694777727127075
"[[85.0, 418.0], [215.0, 418.0], [215.0, 428.0], [85.0, 428.0]]",Yilong 5'x7.5' Hand Knotted Silk,0.9646936655044556
"[[241.0, 417.0], [263.0, 417.0], [263.0, 428.0], [241.0, 428.0]]","3,00",0.9996768832206726
"[[275.0, 418.0], [299.0, 418.0], [299.0, 429.0], [275.0, 429.0]]",each,0.9996902942657471
"[[328.0, 417.0], [367.0, 417.0], [367.0, 428.0], [328.0, 428.0]]","2 800,00",0.9998117089271545
"[[389.0, 417.0], [428.0, 417.0], [428.0, 428.0], [389.0, 428.0]]","8 400,00",0.9998651742935181
"[[460.0, 415.0], [481.0, 417.0], [479.0, 429.0], [458.0, 427.0]]",10%,0.9948638081550598
"[[503.0, 417.0], [542.0, 417.0], [542.0, 428.0], [503.0, 428.0]]","9 240,00",0.9627882242202759
"[[84.0, 427.0], [209.0, 427.0], [209.0, 440.0], [84.0, 440.0]]",Area Rug Medium Size Classic,0.9994959831237793
"[[85.0, 438.0], [164.0, 438.0], [164.0, 448.0], [85.0, 448.0]]",Floor Carpets 0186,0.999139130115509
"[[47.0, 473.0], [118.0, 473.0], [118.0, 484.0], [47.0, 484.0]]",SUMMARY,0.997291088104248
"[[230.0, 502.0], [269.0, 502.0], [269.0, 513.0], [230.0, 513.0]]",VAT [%],0.9348783493041992
"[[333.0, 502.0], [381.0, 502.0], [381.0, 513.0], [333.0, 513.0]]", Net worth,0.951747715473175
"[[426.0, 501.0], [449.0, 501.0], [449.0, 513.0], [426.0, 513.0]]",VAT,0.9999039769172668
"[[486.0, 502.0], [543.0, 502.0], [543.0, 513.0], [486.0, 513.0]]",Gross worth,0.9436098337173462
"[[238.0, 522.0], [260.0, 522.0], [260.0, 534.0], [238.0, 534.0]]",10%,0.9989884495735168
"[[343.0, 522.0], [381.0, 522.0], [381.0, 533.0], [343.0, 533.0]]","8 591,16",0.9861876368522644
"[[417.0, 522.0], [447.0, 522.0], [447.0, 533.0], [417.0, 533.0]]","859,12",0.9998784065246582
"[[505.0, 522.0], [543.0, 522.0], [543.0, 533.0], [505.0, 533.0]]","9 450,28",0.9991161823272705
"[[179.0, 543.0], [207.0, 543.0], [207.0, 557.0], [179.0, 557.0]]",Total,0.9987414479255676
"[[330.0, 542.0], [379.0, 542.0], [379.0, 554.0], [330.0, 554.0]]","$ 8 591,16",0.9369024038314819
"[[407.0, 543.0], [447.0, 543.0], [447.0, 555.0], [407.0, 555.0]]","$ 859,12",0.9997163414955139
"[[493.0, 543.0], [543.0, 543.0], [543.0, 555.0], [493.0, 555.0]]","$ 9 450,28",0.9977203607559204
